Proteins,"0hr, -IFN","0hr, +IFN","1hr, -IFN","1hr, +IFN","3hr, -IFN","3hr, +IFN"
Q9Y490,1,1,1,1,1,1
Q9Y4B6,0,0,0,1,0,1
Q9Y4E1,0,1,0,0,0,0
Q9Y4K4,0,1,0,0,0,1
Q9Y512,0,0,1,0,1,0
Q9Y520,1,1,1,1,1,1
Q9Y5A9,1,1,1,1,1,1
Q9Y5B9,1,1,1,1,1,1
Q9Y618,1,1,1,1,1,1
Q9Y678,1,1,1,1,1,1
Q9Y6K5,1,1,0,1,0,1
